City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
157,Kupang,ID,2021-01-07 21:31:23,-10.1667,123.5833,75.2,100,20,1.14,few clouds
158,Sao Filipe,CV,2021-01-07 21:31:23,14.8961,-24.4956,75.34,77,0,7.16,clear sky
159,Faanui,PF,2021-01-07 21:31:23,-16.4833,-151.75,80.96,68,62,5.82,light rain
160,Sault Sainte Marie,CA,2021-01-07 21:28:48,46.5168,-84.3333,32.0,51,1,6.91,clear sky
161,Flinders,AU,2021-01-07 21:31:24,-34.5833,150.8552,66.0,89,35,1.01,scattered clouds
162,Nakambala,ZM,2021-01-07 21:31:24,-15.8324,27.7799,68.68,91,96,3.85,overcast clouds
163,Hobart,AU,2021-01-07 21:31:10,-42.8794,147.3294,62.01,82,75,6.91,broken clouds
164,Iquique,CL,2021-01-07 21:30:00,-20.2208,-70.1431,73.4,64,0,18.41,clear sky
165,Agua Preta,BR,2021-01-07 21:31:25,-8.7075,-35.5306,75.99,81,44,7.23,scattered clouds
166,Toora-Khem,RU,2021-01-07 21:31:25,52.4675,96.11,-22.94,84,88,1.1,overcast clouds
167,Dali,CN,2021-01-07 21:29:25,25.7,100.1833,42.91,80,100,3.8,overcast clouds
168,Gewane,ET,2021-01-07 21:31:26,10.1664,40.6453,69.22,45,18,5.73,few clouds
169,Henties Bay,NA,2021-01-07 21:31:26,-22.116,14.2845,68.0,89,63,7.74,broken clouds
170,Tual,ID,2021-01-07 21:31:26,-5.6667,132.75,83.37,77,89,12.01,light rain
171,Nikolskoye,RU,2021-01-07 21:31:26,59.7035,30.7861,24.8,86,75,11.18,light snow
172,Porto Novo,BJ,2021-01-07 21:31:27,6.4965,2.6036,82.4,89,20,11.5,few clouds
173,Zhaotong,CN,2021-01-07 21:30:23,27.3167,103.7167,22.53,91,99,6.13,overcast clouds
174,Cockburn Town,TC,2021-01-07 21:31:27,21.4612,-71.1419,76.15,78,12,13.69,few clouds
175,Camabatela,AO,2021-01-07 21:31:28,-8.1881,15.375,59.47,96,74,0.85,broken clouds
176,Shimoda,JP,2021-01-07 21:31:28,34.6667,138.95,27.0,70,7,1.01,clear sky
177,Daitari,IN,2021-01-07 21:31:28,21.1,85.75,65.03,61,46,2.57,scattered clouds
178,Mananjary,MG,2021-01-07 21:31:28,-21.2167,48.3333,76.26,90,45,5.77,light rain
179,Coachella,US,2021-01-07 21:28:24,33.6803,-116.1739,73.4,17,1,4.61,clear sky
180,Tessalit,ML,2021-01-07 21:31:29,20.1986,1.0114,73.15,20,0,9.57,clear sky
181,Leningradskiy,RU,2021-01-07 21:31:29,69.3833,178.4167,-9.18,85,100,7.36,overcast clouds
182,Bambous Virieux,MU,2021-01-07 21:31:30,-20.3428,57.7575,77.0,73,40,8.05,scattered clouds
183,Makakilo City,US,2021-01-07 21:31:30,21.3469,-158.0858,82.4,51,40,8.05,scattered clouds
184,Solone,UA,2021-01-07 21:31:30,48.2081,34.8721,44.6,100,75,13.42,broken clouds
185,Lompoc,US,2021-01-07 21:31:30,34.6391,-120.4579,66.2,36,1,11.16,clear sky
186,Port Lincoln,AU,2021-01-07 21:31:30,-34.7333,135.8667,65.17,81,0,11.59,clear sky
187,Bukama,CD,2021-01-07 21:31:31,-9.2,25.85,69.91,96,100,5.93,moderate rain
188,Arrecife,ES,2021-01-07 21:31:01,28.963,-13.5477,69.8,83,40,11.5,scattered clouds
189,Brae,GB,2021-01-07 21:31:31,60.3964,-1.353,33.8,69,20,16.11,light snow
190,Yellowknife,CA,2021-01-07 21:31:31,62.456,-114.3525,1.0,85,75,2.3,broken clouds
191,Ostersund,SE,2021-01-07 21:31:32,63.1792,14.6357,17.6,93,90,1.14,light snow
192,Paharpur,PK,2021-01-07 21:31:32,32.1038,70.9724,49.69,57,0,0.98,clear sky
193,Wiang Sa,TH,2021-01-07 21:31:32,8.6359,99.3666,78.01,95,100,2.21,light rain
194,Antibes,FR,2021-01-07 21:31:32,43.5624,7.1278,41.0,65,75,6.91,broken clouds
195,Aklavik,CA,2021-01-07 21:31:33,68.2191,-135.0107,-13.0,84,40,8.05,scattered clouds
196,Namibe,AO,2021-01-07 21:31:33,-15.1961,12.1522,72.1,76,61,9.35,broken clouds
197,Along,IN,2021-01-07 21:31:33,28.1667,94.7667,52.57,78,11,1.79,few clouds
198,Victor Harbor,AU,2021-01-07 21:31:33,-35.5667,138.6167,68.0,98,0,7.43,clear sky
199,Komlo,HU,2021-01-07 21:31:34,46.1928,18.2649,34.57,89,100,5.3,overcast clouds
200,Walvis Bay,NA,2021-01-07 21:31:34,-22.9575,14.5053,68.0,88,45,6.91,scattered clouds
201,The Valley,AI,2021-01-07 21:31:34,18.217,-63.0578,80.6,73,40,5.75,scattered clouds
202,Geraldton,AU,2021-01-07 21:31:34,-28.7667,114.6,77.0,25,10,6.91,clear sky
203,Port Alfred,ZA,2021-01-07 21:31:35,-33.5906,26.891,66.99,91,0,5.01,clear sky
204,Canavieiras,BR,2021-01-07 21:31:35,-15.675,-38.9472,84.2,61,0,9.22,clear sky
205,Comodoro Rivadavia,AR,2021-01-07 21:30:01,-45.8667,-67.5,68.0,40,20,16.11,few clouds
206,Caravelas,BR,2021-01-07 21:31:35,-17.7125,-39.2481,76.91,80,31,8.39,scattered clouds
207,Tasiilaq,GL,2021-01-07 21:31:36,65.6145,-37.6368,23.0,80,75,13.8,broken clouds
208,Padang,ID,2021-01-07 21:31:36,-0.9492,100.3543,78.53,75,100,4.85,light rain
209,Vila Velha,BR,2021-01-07 21:31:36,-20.3297,-40.2925,84.99,74,0,19.57,clear sky
210,Pevek,RU,2021-01-07 21:31:36,69.7008,170.3133,-9.0,91,100,4.36,overcast clouds
211,Port Augusta,AU,2021-01-07 21:31:36,-32.5,137.7667,72.0,88,0,12.66,clear sky
212,Kruisfontein,ZA,2021-01-07 21:31:37,-34.0033,24.7314,71.01,86,12,10.11,few clouds
213,Mahebourg,MU,2021-01-07 21:31:37,-20.4081,57.7,77.0,73,40,8.05,scattered clouds
214,Ilulissat,GL,2021-01-07 21:31:37,69.2167,-51.1,12.2,92,75,4.61,light snow
215,Lata,PT,2021-01-07 21:31:37,40.1629,-8.3327,44.01,63,52,5.99,broken clouds
216,Toumodi,CI,2021-01-07 21:31:37,6.5613,-5.0158,77.0,88,40,5.17,scattered clouds
217,Korla,CN,2021-01-07 21:31:38,41.7597,86.1469,12.45,85,72,4.68,broken clouds
218,Mao,ES,2021-01-07 21:31:38,39.8885,4.2658,44.6,81,40,18.41,scattered clouds
219,Klaksvik,FO,2021-01-07 21:31:38,62.2266,-6.589,30.2,69,75,16.11,light snow
220,Dunedin,NZ,2021-01-07 21:31:32,-45.8742,170.5036,56.07,63,38,13.85,scattered clouds
221,Nanortalik,GL,2021-01-07 21:31:39,60.1432,-45.2371,37.53,93,100,8.81,light rain
222,Torbay,CA,2021-01-07 21:31:39,47.6666,-52.7314,43.0,100,90,27.63,light rain
223,Loudi,CN,2021-01-07 21:31:39,27.7344,111.9944,28.8,75,78,5.06,broken clouds
224,Lagos,NG,2021-01-07 21:29:23,6.5833,3.75,80.6,89,20,5.53,few clouds
225,Zachepylivka,UA,2021-01-07 21:31:40,49.1939,35.2394,45.95,88,100,18.05,light rain
226,Daru,PG,2021-01-07 21:31:40,-9.0763,143.2092,80.53,85,100,7.31,light rain
227,Pacific Grove,US,2021-01-07 21:31:40,36.6177,-121.9166,63.0,55,1,5.75,clear sky
228,Bengkulu,ID,2021-01-07 21:31:40,-3.8004,102.2655,74.98,84,96,4.5,moderate rain
229,Mali,GN,2021-01-07 21:31:40,12.079,-12.2982,87.8,23,0,2.13,clear sky
230,Timon,BR,2021-01-07 21:31:41,-5.0942,-42.8367,93.2,40,0,4.61,clear sky
231,San Ramon,US,2021-01-07 21:31:41,37.7799,-121.978,59.0,58,1,13.8,clear sky
232,Do Gonbadan,IR,2021-01-07 21:31:41,30.3586,50.7981,41.0,75,0,1.92,clear sky
233,Pokhara,NP,2021-01-07 21:31:41,28.2333,83.9833,58.78,34,0,4.74,clear sky
234,Jiuquan,CN,2021-01-07 21:31:42,39.7432,98.5174,-0.53,78,5,4.9,clear sky
235,Rocha,UY,2021-01-07 21:31:42,-34.4833,-54.3333,79.16,41,46,6.89,scattered clouds
236,Zeya,RU,2021-01-07 21:31:42,53.75,127.2667,-18.31,81,99,1.41,overcast clouds
237,Kodiak,US,2021-01-07 21:31:42,57.79,-152.4072,39.2,93,90,16.11,light rain
238,Tautira,PF,2021-01-07 21:31:42,-17.7333,-149.15,87.8,62,20,9.22,few clouds
239,Magistralnyy,RU,2021-01-07 21:31:43,56.1725,107.4458,-10.93,88,100,4.72,light snow
240,Taoudenni,ML,2021-01-07 21:31:43,22.6783,-3.9836,77.47,21,100,5.55,overcast clouds
241,Pangani,TZ,2021-01-07 21:31:43,-5.4333,38.9667,76.71,84,56,10.67,broken clouds
242,Nilai,MY,2021-01-07 21:31:43,2.8169,101.7956,78.8,78,20,5.75,few clouds
243,Hofn,IS,2021-01-07 21:31:44,64.2539,-15.2082,26.64,90,99,9.64,overcast clouds
244,Esperance,AU,2021-01-07 21:31:44,-33.8667,121.9,59.0,82,0,17.27,clear sky
245,Mujiayingzi,CN,2021-01-07 21:31:44,42.1167,118.7833,-18.81,76,1,8.28,clear sky
246,Constitucion,CL,2021-01-07 21:31:44,-35.3333,-72.4167,64.47,59,0,18.88,clear sky
247,Hit,IQ,2021-01-07 21:31:44,33.6416,42.8251,52.0,42,17,5.44,few clouds
248,Ahipara,NZ,2021-01-07 21:31:45,-35.1667,173.1667,64.26,93,100,5.3,overcast clouds
249,Ostrovnoy,RU,2021-01-07 21:31:45,68.0531,39.5131,11.19,94,5,10.13,clear sky
250,Launceston,AU,2021-01-07 21:30:55,-41.45,147.1667,62.01,77,90,10.36,overcast clouds
